2023-12-15T09:53:16.860Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@41143873
2023-12-15T09:53:16.861Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@21f50d2c
2023-12-15T09:53:16.861Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@21f50d2c
2023-12-15T09:53:16.861Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@8bc0696
2023-12-15T09:53:16.861Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@473847fb
2023-12-15T09:53:16.862Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@270f28cf
2023-12-15T09:53:16.862Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@2e1add6f
2023-12-15T09:53:16.862Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@467af68c
2023-12-15T09:53:16.862Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@43786627
2023-12-15T09:53:16.862Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@1d6f77d7
2023-12-15T09:53:16.862Z DEBUG 40192 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@1d6f77d7
